,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,3,10,3,0.6344375,1,20,1959836417,0,0,0,-3.021528176,-2.811647579,0,0,0
1,ilrma-t-IP,3,10,3,0.6344375,1,20,1959836417,50,1,4.46148111,6.142107081,15.6664965,9.163635258,18.47814408,1
2,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,1959836417,0,0,,-3.021528176,-2.811647579,0,0,0
3,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,1959836417,50,1,,6.18618042,15.68097713,9.207708597,18.49262471,1
4,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,1959836417,0,0,,-3.021528176,-2.811647579,0,0,0
5,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,1959836417,50,1,,6.18618042,15.68097713,9.207708597,18.49262471,1
6,ilrma,3,10,3,0.6344375,1,20,1959836417,0,0,0,-3.021528176,-2.811647579,0,0,0
7,ilrma,3,10,3,0.6344375,1,20,1959836417,50,1,1.32939986,6.623905532,16.3210289,9.645433709,19.13267648,1
8,ilrma-t-IP,3,10,3,0.6344375,1,30,1063926992,0,0,0,-3.15921216,-2.969390268,0,0,0
9,ilrma-t-IP,3,10,3,0.6344375,1,30,1063926992,50,1,4.469009936,6.922363023,18.53889748,10.08157518,21.50828775,1
10,ilrma-t-iss-seq,3,10,3,0.6344375,1,30,1063926992,0,0,,-3.15921216,-2.969390268,0,0,0
11,ilrma-t-iss-seq,3,10,3,0.6344375,1,30,1063926992,50,1,,6.061096672,17.83933529,9.220308832,20.80872556,1
12,ilrma-t-iss-joint,3,10,3,0.6344375,1,30,1063926992,0,0,,-3.15921216,-2.969390268,0,0,0
13,ilrma-t-iss-joint,3,10,3,0.6344375,1,30,1063926992,50,1,,6.061096672,17.83933529,9.220308832,20.80872556,1
14,ilrma,3,10,3,0.6344375,1,30,1063926992,0,0,0,-3.15921216,-2.969390268,0,0,0
15,ilrma,3,10,3,0.6344375,1,30,1063926992,50,1,1.348656751,6.961890452,17.61128337,10.12110261,20.58067364,1
16,ilrma-t-IP,3,10,3,0.6344375,1,20,1995074678,0,0,0,-3.029845809,-2.841800823,0,0,0
17,ilrma-t-IP,3,10,3,0.6344375,1,20,1995074678,50,1,4.426187306,7.975794411,19.18191957,11.00564022,22.02372039,1
18,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,1995074678,0,0,,-3.029845809,-2.841800823,0,0,0
19,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,1995074678,50,1,,8.003327722,19.22119597,11.03317353,22.06299679,1
20,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,1995074678,0,0,,-3.029845809,-2.841800823,0,0,0
21,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,1995074678,50,1,,8.003327722,19.22119597,11.03317353,22.06299679,1
22,ilrma,3,10,3,0.6344375,1,20,1995074678,0,0,0,-3.029845809,-2.841800823,0,0,0
23,ilrma,3,10,3,0.6344375,1,20,1995074678,50,1,1.259856052,8.25138341,18.63289794,11.28122922,21.47469876,1
24,ilrma-t-IP,3,10,3,0.6344375,1,30,1402032510,0,0,0,-3.157857033,-2.865531233,0,0,0
25,ilrma-t-IP,3,10,3,0.6344375,1,30,1402032510,50,1,4.519755794,7.91755582,20.0282884,11.07541285,22.89381963,1
