,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,3,0,3,0.6344375,1,30,1819941518,0,0,0,-3.188915987,-2.882152567,0,0,0
1,ilrma-t-IP,3,0,3,0.6344375,1,30,1819941518,50,1,3.60148576,7.453521817,18.82588381,10.6424378,21.70803637,1
2,ilrma,3,0,3,0.6344375,1,30,1819941518,0,0,0,-3.188915987,-2.882152567,0,0,0
3,ilrma,3,0,3,0.6344375,1,30,1819941518,50,1,1.027458398,7.908921133,19.12532059,11.09783712,22.00747315,1
4,ilrma-t-IP,3,0,3,0.6344375,1,30,1251993226,0,0,0,-3.12659972,-2.88845658,0,0,0
5,ilrma-t-IP,3,0,3,0.6344375,1,30,1251993226,50,1,3.678538627,6.271002817,18.07602131,9.397602537,20.96447789,1
6,ilrma,3,0,3,0.6344375,1,30,1251993226,0,0,0,-3.12659972,-2.88845658,0,0,0
7,ilrma,3,0,3,0.6344375,1,30,1251993226,50,1,1.00845125,6.772853934,17.71887576,9.899453653,20.60733234,1
8,ilrma-t-IP,3,0,3,0.6344375,1,30,1981297353,0,0,0,-3.019210727,-2.817983662,0,0,0
9,ilrma-t-IP,3,0,3,0.6344375,1,30,1981297353,50,1,3.655267214,4.252776313,14.01248808,7.271987041,16.83047174,1
10,ilrma,3,0,3,0.6344375,1,30,1981297353,0,0,0,-3.019210727,-2.817983662,0,0,0
11,ilrma,3,0,3,0.6344375,1,30,1981297353,50,1,1.043931115,6.221223151,16.37381987,9.240433878,19.19180353,1
12,ilrma-t-IP,3,0,3,0.6344375,1,30,1983958385,0,0,0,-3.061084521,-2.912161148,0,0,0
13,ilrma-t-IP,3,0,3,0.6344375,1,30,1983958385,50,1,3.651880746,5.605812738,15.81693117,8.666897259,18.72909232,1
14,ilrma,3,0,3,0.6344375,1,30,1983958385,0,0,0,-3.061084521,-2.912161148,0,0,0
15,ilrma,3,0,3,0.6344375,1,30,1983958385,50,1,1.022919719,7.510187296,18.47952791,10.57127182,21.39168906,1
16,ilrma-t-IP,3,0,3,0.6344375,1,30,1319794951,0,0,0,-3.041725734,-2.864641272,0,0,0
17,ilrma-t-IP,3,0,3,0.6344375,1,30,1319794951,50,1,3.59534808,4.194548777,14.82380583,7.236274511,17.6884471,1
18,ilrma,3,0,3,0.6344375,1,30,1319794951,0,0,0,-3.041725734,-2.864641272,0,0,0
19,ilrma,3,0,3,0.6344375,1,30,1319794951,50,1,1.045159608,4.731292801,15.55107501,7.773018535,18.41571628,1
20,ilrma-t-IP,3,0,3,0.6344375,1,30,1712592594,0,0,0,-3.091079228,-2.793079307,0,0,0
21,ilrma-t-IP,3,0,3,0.6344375,1,30,1712592594,50,1,3.557408415,7.371044825,19.9824994,10.46212405,22.77557871,1
22,ilrma,3,0,3,0.6344375,1,30,1712592594,0,0,0,-3.091079228,-2.793079307,0,0,0
23,ilrma,3,0,3,0.6344375,1,30,1712592594,50,1,1.02345335,7.466694353,19.55840693,10.55777358,22.35148624,1
24,ilrma-t-IP,3,0,3,0.6344375,1,30,1358822685,0,0,0,-3.132025289,-2.887759903,0,0,0
25,ilrma-t-IP,3,0,3,0.6344375,1,30,1358822685,50,1,3.534285777,7.240746365,19.24751898,10.37277165,22.13527888,1
26,ilrma,3,0,3,0.6344375,1,30,1358822685,0,0,0,-3.132025289,-2.887759903,0,0,0
27,ilrma,3,0,3,0.6344375,1,30,1358822685,50,1,1.030012079,7.004437278,18.5295142,10.13646257,21.4172741,1
28,ilrma-t-IP,3,0,3,0.6344375,1,30,1282922662,0,0,0,-3.079011939,-2.912482737,0,0,0
29,ilrma-t-IP,3,0,3,0.6344375,1,30,1282922662,50,1,3.633628781,5.486264178,16.53768191,8.565276118,19.45016465,1
30,ilrma,3,0,3,0.6344375,1,30,1282922662,0,0,0,-3.079011939,-2.912482737,0,0,0
31,ilrma,3,0,3,0.6344375,1,30,1282922662,50,1,1.047303682,6.378514542,17.43162022,9.457526481,20.34410296,1
32,ilrma-t-IP,3,0,3,0.6344375,1,30,1069045865,0,0,0,-3.1304249,-2.953518949,0,0,0
33,ilrma-t-IP,3,0,3,0.6344375,1,30,1069045865,50,1,3.540773097,4.490194566,14.00923434,7.620619466,16.96275328,1
34,ilrma,3,0,3,0.6344375,1,30,1069045865,0,0,0,-3.1304249,-2.953518949,0,0,0
35,ilrma,3,0,3,0.6344375,1,30,1069045865,50,1,1.040618765,2.101431046,9.844894043,5.231855946,12.79841299,1
36,ilrma-t-IP,3,0,3,0.6344375,1,30,1605979227,0,0,0,-3.081517141,-2.857506524,0,0,0
37,ilrma-t-IP,3,0,3,0.6344375,1,30,1605979227,50,1,3.584050319,5.48865992,15.94189354,8.570177062,18.79940006,1
38,ilrma,3,0,3,0.6344375,1,30,1605979227,0,0,0,-3.081517141,-2.857506524,0,0,0
39,ilrma,3,0,3,0.6344375,1,30,1605979227,50,1,1.058047657,5.399653122,15.10361547,8.481170264,17.96112199,1
