,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
33,OverIVA-IP2,3,10,7,0.4130625,1.0,5,1675701733,50,1,0.8369696719512703,1.4824249368462243,8.32892200086296,6.134540685334291,12.809229946683033,1.0
34,AuxIVA-IP2,3,10,7,0.4130625,1.0,5,1675701733,0,0,0.0,-4.70984056391177,-4.5591730656773075,0.0,0.0,0.0
35,AuxIVA-IP2,3,10,7,0.4130625,1.0,5,1675701733,50,1,2.0579451326488845,1.4951914037318523,8.898776002649837,6.205031967643623,13.457949068327146,1.0
36,OverIVA-DX/BG,3,10,7,0.4130625,1.0,5,1675701733,0,0,0.0,-4.652115748488067,-4.480307945820072,0.0,0.0,0.0
37,OverIVA-DX/BG,3,10,7,0.4130625,1.0,5,1675701733,50,1,1.0405413616602306,1.2481614025644612,8.123446170848071,5.900277151052529,12.603754116668142,1.0
38,PCA+AuxIVA-IP,3,10,7,0.4130625,1.0,5,1675701733,0,0,0.0,-4.652115748488067,-4.480307945820072,0.0,0.0,0.0
39,PCA+AuxIVA-IP,3,10,7,0.4130625,1.0,5,1675701733,50,1,0.4767947474244231,-18.875225350352206,-5.40543925667212,-14.223109601864136,-0.9251313108520481,0.0
40,FIVE,1,10,7,0.41675,1.0,0,1675701733,0,0,0.0,-0.055696313543729885,-0.01206682964209835,0.0,0.0,0.0
41,FIVE,1,10,7,0.41675,1.0,0,1675701733,50,1,0.37751844035989834,3.796843644418373,8.551868282565824,3.8525399579621027,8.563935112207922,1.0
42,OverIVA-IP,1,10,7,0.41675,1.0,0,1675701733,0,0,0.0,-0.055696313543729885,-0.01206682964209835,0.0,0.0,0.0
43,OverIVA-IP,1,10,7,0.41675,1.0,0,1675701733,50,1,0.3428416955807433,3.7977174052215483,8.504183244453682,3.853413718765278,8.51625007409578,1.0
44,OGIVEs,1,10,7,0.41675,1.0,0,1675701733,0,0,0.0,-0.055696313543729885,-0.01206682964209835,0.0,0.0,0.0
45,OGIVEs,1,10,7,0.41675,1.0,0,1675701733,1000,1,2.9435018309282754,3.8607671801100336,8.62252488336919,3.9164634936537635,8.634591713011288,1.0
46,AuxIVA-IP2,1,10,7,0.41675,1.0,0,1675701733,0,0,0.0,-0.055696313543729885,-0.01206682964209835,0.0,0.0,0.0
47,AuxIVA-IP2,1,10,7,0.41675,1.0,0,1675701733,50,1,2.00728739583519,3.8627714600068153,11.115045221272862,3.918467773550545,11.12711205091496,1.0
48,OverIVA-DX/BG,1,10,7,0.41675,1.0,0,1675701733,0,0,0.0,-0.055696313543729885,-0.01206682964209835,0.0,0.0,0.0
49,OverIVA-DX/BG,1,10,7,0.41675,1.0,0,1675701733,50,1,0.37494769132221933,3.7968436444183675,8.551868282565811,3.8525399579620974,8.56393511220791,1.0
50,OverIVA-IP,3,10,7,0.4130625,1.0,-5,1675701733,0,0,0.0,-10.721755991012095,-10.628199337207647,0.0,0.0,0.0
51,OverIVA-IP,3,10,7,0.4130625,1.0,-5,1675701733,50,1,0.9332227160845314,-9.29486982865612,-4.680114481343997,1.4268861623559745,5.948084855863651,0.0
52,OverIVA-IP2,3,10,7,0.4130625,1.0,-5,1675701733,0,0,0.0,-10.721755991012095,-10.628199337207647,0.0,0.0,0.0
53,OverIVA-IP2,3,10,7,0.4130625,1.0,-5,1675701733,50,1,0.8532735289407657,-10.826340787646297,-6.283855534547661,-0.10458479663420366,4.344343802659986,0.0
54,AuxIVA-IP2,3,10,7,0.4130625,1.0,-5,1675701733,0,0,0.0,-10.658045331490671,-10.573615369760983,0.0,0.0,0.0
55,AuxIVA-IP2,3,10,7,0.4130625,1.0,-5,1675701733,50,1,1.950221692377957,-11.222100414932486,-6.443054925500971,-0.5640550834418153,4.130560444260013,0.0
56,OverIVA-DX/BG,3,10,7,0.4130625,1.0,-5,1675701733,0,0,0.0,-10.721755991012095,-10.628199337207647,0.0,0.0,0.0
57,OverIVA-DX/BG,3,10,7,0.4130625,1.0,-5,1675701733,50,1,1.0792949781439238,-8.409687625166603,-3.7468257765114217,2.312068365845491,6.881373560696226,0.0
58,PCA+AuxIVA-IP,3,10,7,0.4130625,1.0,-5,1675701733,0,0,0.0,-10.721755991012095,-10.628199337207647,0.0,0.0,0.0
59,PCA+AuxIVA-IP,3,10,7,0.4130625,1.0,-5,1675701733,50,1,0.4613177748913162,-25.0551402194417,-11.143924942999902,-14.333384228429603,-0.5157256057922558,0.0
60,FIVE,1,10,7,0.41675,1.0,10,1675701733,0,0,0.0,9.997784972719112,10.041414456620679,0.0,0.0,1.0
61,FIVE,1,10,7,0.41675,1.0,10,1675701733,50,1,0.3792725965730143,12.128731753902983,19.728281690223245,2.130946781183871,9.686867233602566,1.0
62,OverIVA-IP,1,10,7,0.41675,1.0,10,1675701733,0,0,0.0,9.997784972719112,10.041414456620679,0.0,0.0,1.0
63,OverIVA-IP,1,10,7,0.41675,1.0,10,1675701733,50,1,0.32610673356939096,12.127598265931391,19.726954814886252,2.1298132932122797,9.685540358265573,1.0
64,OGIVEs,1,10,7,0.41675,1.0,10,1675701733,0,0,0.0,9.997784972719112,10.041414456620679,0.0,0.0,1.0
65,OGIVEs,1,10,7,0.41675,1.0,10,1675701733,1000,1,2.982461218365034,11.805415013938793,19.679443652291354,1.8076300412196815,9.638029195670676,1.0
66,AuxIVA-IP2,1,10,7,0.41675,1.0,10,1675701733,0,0,0.0,9.997784972719112,10.041414456620679,0.0,0.0,1.0
67,AuxIVA-IP2,1,10,7,0.41675,1.0,10,1675701733,50,1,1.92207971625653,10.742625429817021,20.423649739218668,0.7448404570979097,10.38223528259799,1.0
68,OverIVA-DX/BG,1,10,7,0.41675,1.0,10,1675701733,0,0,0.0,9.997784972719112,10.041414456620679,0.0,0.0,1.0
69,OverIVA-DX/BG,1,10,7,0.41675,1.0,10,1675701733,50,1,0.37338160293707623,12.128731753902988,19.728281690223245,2.1309467811838765,9.686867233602566,1.0
70,OverIVA-IP,3,10,7,0.4130625,1.0,10,1675701733,0,0,0.0,-3.555380427217509,-3.381366143676073,0.0,0.0,0.0
71,OverIVA-IP,3,10,7,0.4130625,1.0,10,1675701733,50,1,0.9238606430490574,5.026697751849541,13.32705036805477,8.582078179067052,16.708416511730842,1.0
72,OverIVA-IP2,3,10,7,0.4130625,1.0,10,1675701733,0,0,0.0,-3.555380427217509,-3.381366143676073,0.0,0.0,0.0
73,OverIVA-IP2,3,10,7,0.4130625,1.0,10,1675701733,50,1,0.8413062401024888,5.376250530589725,13.610110556971955,8.931630957807233,16.991476700648025,1.0
74,AuxIVA-IP2,3,10,7,0.4130625,1.0,10,1675701733,0,0,0.0,-3.631103113348255,-3.490061793609469,0.0,0.0,0.0
75,AuxIVA-IP2,3,10,7,0.4130625,1.0,10,1675701733,50,1,1.9587289763527331,5.151196382098162,13.793035777441034,8.782299495446416,17.2830975710505,1.0
76,OverIVA-DX/BG,3,10,7,0.4130625,1.0,10,1675701733,0,0,0.0,-3.555380427217509,-3.381366143676073,0.0,0.0,0.0
77,OverIVA-DX/BG,3,10,7,0.4130625,1.0,10,1675701733,50,1,1.0148242344442286,5.1073270870927265,13.377015538232802,8.662707514310236,16.758381681908872,1.0
78,PCA+AuxIVA-IP,3,10,7,0.4130625,1.0,10,1675701733,0,0,0.0,-3.555380427217509,-3.381366143676073,0.0,0.0,0.0
79,PCA+AuxIVA-IP,3,10,7,0.4130625,1.0,10,1675701733,50,1,0.4575916158075438,-17.032390588178366,-3.125293872299391,-13.477010160960853,0.2560722713766818,0.3333333333333333
80,OverIVA-IP,2,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-8.710665039098513,-8.673976152154664,0.0,0.0,0.0
81,OverIVA-IP,2,10,7,0.41675,1.0,-5,1675701733,50,1,0.5860900932960821,-6.98977506663428,-2.533190701596438,1.7208899724642333,6.140785450558226,0.0
82,OverIVA-IP2,2,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-8.710665039098513,-8.673976152154664,0.0,0.0,0.0
83,OverIVA-IP2,2,10,7,0.41675,1.0,-5,1675701733,50,1,0.5281314045420316,-6.762845002218059,-2.3512785602720863,1.9478200368804548,6.322697591882577,0.0
84,AuxIVA-IP2,2,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-8.710665039098513,-8.673976152154664,0.0,0.0,0.0
85,AuxIVA-IP2,2,10,7,0.41675,1.0,-5,1675701733,50,1,1.8537715888803903,-10.61586099294452,-6.009961787950472,-1.9051959538460048,2.664014364204192,0.5
86,OverIVA-DX/BG,2,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-8.710665039098513,-8.673976152154664,0.0,0.0,0.0
87,OverIVA-DX/BG,2,10,7,0.41675,1.0,-5,1675701733,50,1,0.710445863952599,-6.238183923429194,-1.7207550333713515,2.472481115669319,6.953221118783312,0.0
88,PCA+AuxIVA-IP,2,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-8.710665039098513,-8.673976152154664,0.0,0.0,0.0
89,PCA+AuxIVA-IP,2,10,7,0.41675,1.0,-5,1675701733,50,1,0.21965262777056083,-24.841241325761942,-3.3925075280617754,-16.130576286663427,5.281468624092888,0.0
90,OverIVA-IP,2,10,7,0.41675,1.0,10,1675701733,0,0,0.0,-0.7954260599756787,-0.7882814758699521,0.0,0.0,0.0
91,OverIVA-IP,2,10,7,0.41675,1.0,10,1675701733,50,1,0.5877951353178744,8.252802616887415,15.761243405450282,9.048228676863094,16.549524881320234,1.0
92,OverIVA-IP2,2,10,7,0.41675,1.0,10,1675701733,0,0,0.0,-0.7954260599756787,-0.7882814758699521,0.0,0.0,0.0
93,OverIVA-IP2,2,10,7,0.41675,1.0,10,1675701733,50,1,0.4945050752359103,8.301564209727005,15.787368652949894,9.096990269702683,16.575650128819845,1.0
94,AuxIVA-IP2,2,10,7,0.41675,1.0,10,1675701733,0,0,0.0,-0.7954260599756787,-0.7882814758699521,0.0,0.0,0.0
95,AuxIVA-IP2,2,10,7,0.41675,1.0,10,1675701733,50,1,1.894555318707258,7.955920248485791,15.917144561423797,8.75134630846147,16.705426037293748,1.0
96,OverIVA-DX/BG,2,10,7,0.41675,1.0,10,1675701733,0,0,0.0,-0.7954260599756787,-0.7882814758699521,0.0,0.0,0.0
97,OverIVA-DX/BG,2,10,7,0.41675,1.0,10,1675701733,50,1,0.6957242326649025,8.26748356541522,15.77061053430704,9.062909625390901,16.558892010176994,1.0
98,PCA+AuxIVA-IP,2,10,7,0.41675,1.0,10,1675701733,0,0,0.0,-0.7954260599756787,-0.7882814758699521,0.0,0.0,0.0
99,PCA+AuxIVA-IP,2,10,7,0.41675,1.0,10,1675701733,50,1,0.17500979697870295,-24.62606143810029,0.38142125230239,-23.83063537812461,1.1697027281723422,0.5
100,FIVE,1,10,7,0.41675,1.0,5,1675701733,0,0,0.0,4.97857309624035,5.022202580141926,0.0,0.0,1.0
101,FIVE,1,10,7,0.41675,1.0,5,1675701733,50,1,0.3093411006921628,8.762942508139677,14.578992361882587,3.784369411899327,9.556789781740662,1.0
102,OverIVA-IP,1,10,7,0.41675,1.0,5,1675701733,0,0,0.0,4.97857309624035,5.022202580141926,0.0,0.0,1.0
103,OverIVA-IP,1,10,7,0.41675,1.0,5,1675701733,50,1,0.3015694050521072,8.761934552375147,14.570138516793016,3.783361456134797,9.54793593665109,1.0
104,OGIVEs,1,10,7,0.41675,1.0,5,1675701733,0,0,0.0,4.97857309624035,5.022202580141926,0.0,0.0,1.0
105,OGIVEs,1,10,7,0.41675,1.0,5,1675701733,1000,1,2.682145484955785,8.75312480394176,14.642803518990988,3.774551707701411,9.620600938849062,1.0
106,AuxIVA-IP2,1,10,7,0.41675,1.0,5,1675701733,0,0,0.0,4.97857309624035,5.022202580141926,0.0,0.0,1.0
107,AuxIVA-IP2,1,10,7,0.41675,1.0,5,1675701733,50,1,1.2864984276673628,8.348780977863434,15.456569169104718,3.3702078816230845,10.434366588962792,1.0
108,OverIVA-DX/BG,1,10,7,0.41675,1.0,5,1675701733,0,0,0.0,4.97857309624035,5.022202580141926,0.0,0.0,1.0
109,OverIVA-DX/BG,1,10,7,0.41675,1.0,5,1675701733,50,1,0.25912040473775505,8.762942508139677,14.578992361882593,3.784369411899327,9.556789781740667,1.0
110,FIVE,1,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-5.116972912985508,-5.073343429083939,0.0,0.0,0.0
111,FIVE,1,10,7,0.41675,1.0,-5,1675701733,50,1,0.34761775769114434,-6.429918338713457,-2.8642297593698993,-1.312945425727949,2.20911366971404,0.0
112,OverIVA-IP,1,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-5.116972912985508,-5.073343429083939,0.0,0.0,0.0
113,OverIVA-IP,1,10,7,0.41675,1.0,-5,1675701733,50,1,0.3069238435852267,-5.04493912913712,-1.7206731937456998,0.07203378384838821,3.3526702353382394,0.0
114,OGIVEs,1,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-5.116972912985508,-5.073343429083939,0.0,0.0,0.0
115,OGIVEs,1,10,7,0.41675,1.0,-5,1675701733,1000,1,2.4844174872333253,-5.364943227941565,-1.8687869332247504,-0.24797031495605726,3.204556495859189,0.0
116,AuxIVA-IP2,1,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-5.116972912985508,-5.073343429083939,0.0,0.0,0.0
117,AuxIVA-IP2,1,10,7,0.41675,1.0,-5,1675701733,50,1,1.2874288025717215,-1.2985684985972132,6.000239312428636,3.818404414388295,11.073582741512576,1.0
118,OverIVA-DX/BG,1,10,7,0.41675,1.0,-5,1675701733,0,0,0.0,-5.116972912985508,-5.073343429083939,0.0,0.0,0.0
119,OverIVA-DX/BG,1,10,7,0.41675,1.0,-5,1675701733,50,1,0.21937138485080548,-6.429918338713448,-2.864229759369895,-1.31294542572794,2.2091136697140445,0.0
