,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,3,10,3,0.6344375,1,20,657890619,0,0,0,-3.281021468,-2.686182865,0,0,0
1,ilrma-t-IP,3,10,3,0.6344375,1,20,657890619,50,1,5.475598609,6.497896423,17.42932347,9.77891789,20.11550633,1
2,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,657890619,0,0,,-3.281021468,-2.686182865,0,0,0
3,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,657890619,50,1,,6.395908355,17.2984317,9.676929823,19.98461456,1
4,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,657890619,0,0,,-3.281021468,-2.686182865,0,0,0
5,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,657890619,50,1,,6.395908355,17.2984317,9.676929823,19.98461456,1
6,ilrma,3,10,3,0.6344375,1,20,657890619,0,0,0,-3.281021468,-2.686182865,0,0,0
7,ilrma,3,10,3,0.6344375,1,20,657890619,50,1,1.516860444,6.897684782,17.65654886,10.17870625,20.34273172,1
8,ilrma-t-IP,3,10,3,0.6344375,1,10,1402032510,0,0,0,-3.848123998,-3.187457437,0,0,0
9,ilrma-t-IP,3,10,3,0.6344375,1,10,1402032510,50,1,5.455510075,2.307392373,10.01252715,6.155516371,13.19998459,1
10,ilrma-t-iss-seq,3,10,3,0.6344375,1,10,1402032510,0,0,,-3.848123998,-3.187457437,0,0,0
11,ilrma-t-iss-seq,3,10,3,0.6344375,1,10,1402032510,50,1,,2.581903204,10.36933028,6.430027202,13.55678771,1
12,ilrma-t-iss-joint,3,10,3,0.6344375,1,10,1402032510,0,0,,-3.848123998,-3.187457437,0,0,0
13,ilrma-t-iss-joint,3,10,3,0.6344375,1,10,1402032510,50,1,,2.581903204,10.36933028,6.430027202,13.55678771,1
14,ilrma,3,10,3,0.6344375,1,10,1402032510,0,0,0,-3.848123998,-3.187457437,0,0,0
15,ilrma,3,10,3,0.6344375,1,10,1402032510,50,1,1.528578549,1.127366864,8.321003069,4.975490862,11.50846051,1
16,ilrma-t-IP,3,10,3,0.6344375,1,20,1251993226,0,0,0,-3.329889722,-2.848988774,0,0,0
17,ilrma-t-IP,3,10,3,0.6344375,1,20,1251993226,50,1,5.473496936,7.219699702,18.0468567,10.54958942,20.89584548,1
18,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,1251993226,0,0,,-3.329889722,-2.848988774,0,0,0
19,ilrma-t-iss-seq,3,10,3,0.6344375,1,20,1251993226,50,1,,7.216470117,18.00812777,10.54635984,20.85711655,1
20,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,1251993226,0,0,,-3.329889722,-2.848988774,0,0,0
21,ilrma-t-iss-joint,3,10,3,0.6344375,1,20,1251993226,50,1,,7.216470117,18.00812777,10.54635984,20.85711655,1
22,ilrma,3,10,3,0.6344375,1,20,1251993226,0,0,0,-3.329889722,-2.848988774,0,0,0
23,ilrma,3,10,3,0.6344375,1,20,1251993226,50,1,1.514283018,7.296471932,17.78159915,10.62636165,20.63058793,1
24,ilrma-t-IP,3,10,3,0.6344375,1,20,1069045865,0,0,0,-3.382202311,-2.709855978,0,0,0
25,ilrma-t-IP,3,10,3,0.6344375,1,20,1069045865,50,1,5.427021664,5.702123874,16.41203419,9.084326184,19.12189017,1
