,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,3,10,3,0.6344375,1.0,30,820115077,0,0,0.0,-3.2729460877967274,-2.7132971272834285,0.0,0.0,0.0
1,ilrma-t-IP,3,10,3,0.6344375,1.0,30,820115077,100,1,10.686770589233117,5.374041999752392,16.13319772436364,8.646988087549119,18.84649485164707,1.0
2,ilrma-t-iss-seq,3,10,3,0.6344375,1.0,30,820115077,0,0,0.0,-3.2729460877967274,-2.7132971272834285,0.0,0.0,0.0
3,ilrma-t-iss-seq,3,10,3,0.6344375,1.0,30,820115077,100,1,13.64465060835505,7.443606977091225,19.01716147951153,10.716553064887952,21.730458606794958,1.0
4,ilrma-t-iss-joint,3,10,3,0.6344375,1.0,30,820115077,0,0,0.0,-3.2729460877967274,-2.7132971272834285,0.0,0.0,0.0
5,ilrma-t-iss-joint,3,10,3,0.6344375,1.0,30,820115077,100,1,15.724307647231175,7.443606977091225,19.01716147951153,10.716553064887952,21.730458606794958,1.0
6,ilrma,3,10,3,0.6344375,1.0,30,820115077,0,0,0.0,-3.2729460877967274,-2.7132971272834285,0.0,0.0,0.0
7,ilrma,3,10,3,0.6344375,1.0,30,820115077,100,1,3.066472632504203,7.7709229050737845,19.10372724686665,11.04386899287051,21.817024374150076,1.0
8,ilrma-t-IP,3,10,3,0.6344375,1.0,30,1251993226,0,0,0.0,-3.2744095650913487,-2.7960424569025792,0.0,0.0,0.0
9,ilrma-t-IP,3,10,3,0.6344375,1.0,30,1251993226,100,1,10.759870700091762,7.676865619549346,19.789134833040322,10.951275184640698,22.5851772899429,1.0
10,ilrma-t-iss-seq,3,10,3,0.6344375,1.0,30,1251993226,0,0,0.0,-3.2744095650913487,-2.7960424569025792,0.0,0.0,0.0
11,ilrma-t-iss-seq,3,10,3,0.6344375,1.0,30,1251993226,100,1,13.669139591156899,7.678632610278258,19.792843472730343,10.953042175369605,22.58888592963292,1.0
12,ilrma-t-iss-joint,3,10,3,0.6344375,1.0,30,1251993226,0,0,0.0,-3.2744095650913487,-2.7960424569025792,0.0,0.0,0.0
13,ilrma-t-iss-joint,3,10,3,0.6344375,1.0,30,1251993226,100,1,15.727255193047665,7.678632610278258,19.792843472730343,10.953042175369605,22.58888592963292,1.0
14,ilrma,3,10,3,0.6344375,1.0,30,1251993226,0,0,0.0,-3.2744095650913487,-2.7960424569025792,0.0,0.0,0.0
15,ilrma,3,10,3,0.6344375,1.0,30,1251993226,100,1,3.0906025677999445,7.6902618474111994,19.332549902994604,10.964671412502549,22.128592359897183,1.0
16,ilrma-t-IP,3,10,3,0.6344375,1.0,30,36027469,0,0,0.0,-3.2404336785442776,-2.8102424716974466,0.0,0.0,0.0
17,ilrma-t-IP,3,10,3,0.6344375,1.0,30,36027469,100,1,10.803217086240796,6.0909441969572855,18.108947021344335,9.331377875501564,20.91918949304178,1.0
