,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,3,0,3,0.6344375,1,10,561383553,0,0,0,-3.349540247,-2.833076393,0,0,0
13,ilrma-t-IP,3,0,3,0.6344375,1,0,1675701733,50,1,3.527402511,-20.5957271,-0.440445532,-15.75198035,2.282037134,0.666666667
2,ilrma,3,0,3,0.6344375,1,10,561383553,0,0,0,-3.349540247,-2.833076393,0,0,0
15,ilrma,3,0,3,0.6344375,1,0,1675701733,50,1,1.034813325,-20.98471032,-1.354637198,-16.14096356,1.367845468,0
4,ilrma-t-IP,3,0,3,0.6344375,1,10,1959836417,0,0,0,-3.381049024,-2.944275791,0,0,0
17,ilrma-t-IP,3,0,3,0.6344375,1,0,789925284,50,1,3.579054681,-15.00849634,4.17940815,-10.22540643,6.820946992,0.666666667
6,ilrma,3,0,3,0.6344375,1,10,1959836417,0,0,0,-3.381049024,-2.944275791,0,0,0
19,ilrma,3,0,3,0.6344375,1,0,789925284,50,1,1.0107683,-17.64789997,2.924791666,-12.86481006,5.566330508,0.666666667
8,ilrma-t-IP,3,0,3,0.6344375,1,10,1605979227,0,0,0,-3.384664817,-2.830940257,0,0,0
21,ilrma-t-IP,3,0,3,0.6344375,1,0,1712592594,50,1,3.51585695,-13.79402157,2.260684181,-8.679925817,5.055624709,0.666666667
10,ilrma,3,0,3,0.6344375,1,10,1605979227,0,0,0,-3.384664817,-2.830940257,0,0,0
23,ilrma,3,0,3,0.6344375,1,0,1712592594,50,1,1.028935325,-16.92583929,0.980360215,-11.81174354,3.775300742,0.333333333
12,ilrma-t-IP,3,0,3,0.6344375,1,0,1675701733,0,0,0,-4.843746752,-2.722482666,0,0,0
29,ilrma-t-IP,3,0,3,0.6344375,1,0,1819941518,50,1,3.526859199,-15.61843638,-0.126676109,-10.8060024,2.362325792,0.333333333
14,ilrma,3,0,3,0.6344375,1,0,1675701733,0,0,0,-4.843746752,-2.722482666,0,0,0
31,ilrma,3,0,3,0.6344375,1,0,1819941518,50,1,1.067298455,-18.07749166,0.743778385,-13.26505769,3.232780286,0.666666667
16,ilrma-t-IP,3,0,3,0.6344375,1,0,789925284,0,0,0,-4.783089907,-2.641538842,0,0,0
45,ilrma-t-IP,3,0,3,0.6344375,1,0,1251993226,50,1,3.608100078,-17.21052502,2.006629344,-12.37659997,4.673615721,0.666666667
18,ilrma,3,0,3,0.6344375,1,0,789925284,0,0,0,-4.783089907,-2.641538842,0,0,0
47,ilrma,3,0,3,0.6344375,1,0,1251993226,50,1,1.080140123,-20.5075691,0.893864896,-15.67364404,3.560851272,0.666666667
20,ilrma-t-IP,3,0,3,0.6344375,1,0,1712592594,0,0,0,-5.114095749,-2.794940527,0,0,0
49,ilrma-t-IP,3,0,3,0.6344375,1,0,665605494,50,1,3.652812694,-17.28903183,-0.062025048,-12.65414391,2.513535327,0.333333333
22,ilrma,3,0,3,0.6344375,1,0,1712592594,0,0,0,-5.114095749,-2.794940527,0,0,0
51,ilrma,3,0,3,0.6344375,1,0,665605494,50,1,1.005009105,-21.80577442,-1.538243801,-17.1708865,1.037316574,0.333333333
24,ilrma-t-IP,3,0,3,0.6344375,1,10,1685103474,0,0,0,-3.318747609,-2.824325491,0,0,0
53,ilrma-t-IP,3,0,3,0.6344375,1,0,36027469,50,1,3.562476248,-17.9935881,-0.93943634,-13.58063525,1.183905307,0.333333333
26,ilrma,3,0,3,0.6344375,1,10,1685103474,0,0,0,-3.318747609,-2.824325491,0,0,0
55,ilrma,3,0,3,0.6344375,1,0,36027469,50,1,1.006258043,-19.73603145,-1.521827216,-15.3230786,0.601514431,0
28,ilrma-t-IP,3,0,3,0.6344375,1,0,1819941518,0,0,0,-4.812433979,-2.489001901,0,0,0
57,ilrma-t-IP,3,0,3,0.6344375,1,0,659577591,50,1,3.669289153,-17.24848297,0.936597383,-12.26609699,3.78940432,0.666666667
30,ilrma,3,0,3,0.6344375,1,0,1819941518,0,0,0,-4.812433979,-2.489001901,0,0,0
59,ilrma,3,0,3,0.6344375,1,0,659577591,50,1,1.016530326,-17.52471974,0.191292259,-12.54233376,3.044099196,0.333333333
32,ilrma-t-IP,3,0,3,0.6344375,1,10,1358822685,0,0,0,-3.4234266,-2.844308224,0,0,0
61,ilrma-t-IP,3,0,3,0.6344375,1,0,1995074678,50,1,3.696658042,-18.47448245,-0.684627696,-13.64755918,1.558932157,0.333333333
34,ilrma,3,0,3,0.6344375,1,10,1358822685,0,0,0,-3.4234266,-2.844308224,0,0,0
63,ilrma,3,0,3,0.6344375,1,0,1995074678,50,1,1.014894297,-20.80252965,1.846079253,-15.97560638,4.089639105,0.666666667
36,ilrma-t-IP,3,0,3,0.6344375,1,10,170765737,0,0,0,-3.454763629,-3.045154778,0,0,0
73,ilrma-t-IP,3,0,3,0.6344375,1,0,1983958385,50,1,3.485273683,-19.50620315,1.108295306,-14.67605422,3.931622009,0.666666667
38,ilrma,3,0,3,0.6344375,1,10,170765737,0,0,0,-3.454763629,-3.045154778,0,0,0
75,ilrma,3,0,3,0.6344375,1,0,1983958385,50,1,1.025639203,-19.90578556,0.714713994,-15.07563662,3.538040696,0.666666667
40,ilrma-t-IP,3,0,3,0.6344375,1,10,657890619,0,0,0,-3.631773709,-3.060006683,0,0,0
77,ilrma-t-IP,3,0,3,0.6344375,1,0,1063926992,50,1,3.501895767,-17.8966199,-0.03764851,-13.05512509,2.782505494,0.333333333
42,ilrma,3,0,3,0.6344375,1,10,657890619,0,0,0,-3.631773709,-3.060006683,0,0,0
79,ilrma,3,0,3,0.6344375,1,0,1063926992,50,1,0.998341084,-18.83218929,-1.064804355,-13.99069448,1.75534965,0.333333333
44,ilrma-t-IP,3,0,3,0.6344375,1,0,1251993226,0,0,0,-4.833925055,-2.666986376,0,0,0
81,ilrma-t-IP,3,0,3,0.6344375,1,0,410361373,50,1,3.415880735,-18.33589735,2.650036718,-13.61885538,5.393573442,0.666666667
46,ilrma,3,0,3,0.6344375,1,0,1251993226,0,0,0,-4.833925055,-2.666986376,0,0,0
83,ilrma,3,0,3,0.6344375,1,0,410361373,50,1,1.017588995,-21.55524514,-0.983545853,-16.83820316,1.759990871,0.333333333
48,ilrma-t-IP,3,0,3,0.6344375,1,0,665605494,0,0,0,-4.63488792,-2.575560375,0,0,0
85,ilrma-t-IP,3,0,3,0.6344375,1,0,1685103474,50,1,3.498728512,-18.33881028,1.284333058,-13.52716411,4.04474389,0.666666667
50,ilrma,3,0,3,0.6344375,1,0,665605494,0,0,0,-4.63488792,-2.575560375,0,0,0
87,ilrma,3,0,3,0.6344375,1,0,1685103474,50,1,1.030442077,-19.4685207,0.711832215,-14.65687454,3.472243047,0.333333333
52,ilrma-t-IP,3,0,3,0.6344375,1,0,36027469,0,0,0,-4.412952849,-2.123341647,0,0,0
89,ilrma-t-IP,3,0,3,0.6344375,1,0,115061003,50,1,3.479661987,-18.82877145,0.156606939,-13.945541,2.914936325,0.333333333
54,ilrma,3,0,3,0.6344375,1,0,36027469,0,0,0,-4.412952849,-2.123341647,0,0,0
91,ilrma,3,0,3,0.6344375,1,0,115061003,50,1,1.009845302,-20.7349504,2.143110331,-15.85171995,4.901439717,0.666666667
56,ilrma-t-IP,3,0,3,0.6344375,1,0,659577591,0,0,0,-4.982385978,-2.852806937,0,0,0
101,ilrma-t-IP,3,0,3,0.6344375,1,0,1358822685,50,1,3.60866539,-16.99473582,0.905399605,-12.01563661,3.688026275,0.333333333
58,ilrma,3,0,3,0.6344375,1,0,659577591,0,0,0,-4.982385978,-2.852806937,0,0,0
103,ilrma,3,0,3,0.6344375,1,0,1358822685,50,1,1.047269312,-16.1715969,0.898413686,-11.19249768,3.681040356,0.333333333
60,ilrma-t-IP,3,0,3,0.6344375,1,0,1995074678,0,0,0,-4.826923273,-2.243559853,0,0,0
113,ilrma-t-IP,3,0,3,0.6344375,1,0,878579710,50,1,3.666567792,-18.34346868,-0.786163127,-13.53742327,1.986099399,0.333333333
62,ilrma,3,0,3,0.6344375,1,0,1995074678,0,0,0,-4.826923273,-2.243559853,0,0,0
115,ilrma,3,0,3,0.6344375,1,0,878579710,50,1,1.052840537,-17.7686874,-0.27292804,-12.96264199,2.499334485,0.666666667
64,ilrma-t-IP,3,0,3,0.6344375,1,10,671780907,0,0,0,-3.445927588,-2.976241933,0,0,0
117,ilrma-t-IP,3,0,3,0.6344375,1,0,457175121,50,1,3.632375713,-18.12423908,-0.658389481,-13.05407714,2.253742853,0.333333333
66,ilrma,3,0,3,0.6344375,1,10,671780907,0,0,0,-3.445927588,-2.976241933,0,0,0
119,ilrma,3,0,3,0.6344375,1,0,457175121,50,1,0.977474101,-19.05530444,-0.819972685,-13.98514249,2.092159649,0.333333333
68,ilrma-t-IP,3,0,3,0.6344375,1,10,878579710,0,0,0,-3.353693662,-2.872246327,0,0,0
121,ilrma-t-IP,3,0,3,0.6344375,1,0,1959836417,50,1,3.628077166,-20.63984556,-0.997932419,-15.80115717,1.849679878,0.333333333
70,ilrma,3,0,3,0.6344375,1,10,878579710,0,0,0,-3.353693662,-2.872246327,0,0,0
123,ilrma,3,0,3,0.6344375,1,0,1959836417,50,1,0.995728432,-22.61524368,-1.710345901,-17.77655528,1.137266396,0.333333333
