,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,3,10,3,0.6344375,1.0,20,555401847,0,0,0.0,-3.3064511585148577,-2.9454767037362353,0.0,0.0,0.0
1,ilrma-t-IP,3,10,3,0.6344375,1.0,20,555401847,100,1,7.3380724670758415,6.303388987159166,17.388239601673856,9.609840145674022,20.333716305410093,1.0
2,ilrma-t-iss-seq,3,10,3,0.6344375,1.0,20,555401847,0,0,0.0,-3.3064511585148577,-2.9454767037362353,0.0,0.0,0.0
3,ilrma-t-iss-seq,3,10,3,0.6344375,1.0,20,555401847,100,1,9.130255750547452,3.8508111052751146,13.118814821155802,7.157262263789973,16.064291524892038,1.0
4,ilrma-t-iss-joint,3,10,3,0.6344375,1.0,20,555401847,0,0,0.0,-3.3064511585148577,-2.9454767037362353,0.0,0.0,0.0
5,ilrma-t-iss-joint,3,10,3,0.6344375,1.0,20,555401847,100,1,10.155873188785744,3.8508111052751146,13.118814821155802,7.157262263789973,16.064291524892038,1.0
6,ilrma,3,10,3,0.6344375,1.0,20,555401847,0,0,0.0,-3.3064511585148577,-2.9454767037362353,0.0,0.0,0.0
7,ilrma,3,10,3,0.6344375,1.0,20,555401847,100,1,2.0843711994571836,6.514816017448787,17.52005125672439,9.821267175963646,20.46552796046063,1.0
8,wpe+ilrma,3,10,3,0.6344375,1.0,20,555401847,0,0,0.0,-3.3064511585148577,-2.9454767037362353,0.0,0.0,0.0
9,wpe+ilrma,3,10,3,0.6344375,1.0,20,555401847,100,1,4.4735326897572705,5.416764446054439,15.198425482810725,8.723215604569297,18.143902186546956,1.0
10,ilrma-t-IP,3,10,3,0.6344375,1.0,20,1282922662,0,0,0.0,-3.29583097597126,-2.7994903876530377,0.0,0.0,0.0
11,ilrma-t-IP,3,10,3,0.6344375,1.0,20,1282922662,100,1,7.293564481873081,6.746217763411317,17.93181835114279,10.042048739382578,20.73130873879583,1.0
12,ilrma-t-iss-seq,3,10,3,0.6344375,1.0,20,1282922662,0,0,0.0,-3.29583097597126,-2.7994903876530377,0.0,0.0,0.0
13,ilrma-t-iss-seq,3,10,3,0.6344375,1.0,20,1282922662,100,1,9.195434473929772,5.881829642768007,16.41808069899915,9.177660618739266,19.21757108665219,1.0
