,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],_SI-SDR [dB],_SI-SIR [dB],Success
49,ilrma,3,10,3,0.634,1,0,1358822685,50,1,0.380731114,-9.515307148,1.351697919,-2.499491027,8.224062448,0.333333333
50,auxiva,3,10,3,0.634,1,10,561383553,0,0,0,-3.638156597,-3.453872017,0,0,0
51,auxiva,3,10,3,0.634,1,10,561383553,50,1,0.192799469,-0.781892832,2.254758622,2.856263765,5.70863064,0.333333333
52,ilrma-t-IP,3,10,3,0.634,1,10,561383553,0,0,0,-3.638156597,-3.453872017,0,0,0
53,ilrma-t-IP,3,10,3,0.634,1,10,561383553,50,1,2.673641456,0.209154808,3.630628688,3.847311404,7.084500706,0.333333333
54,ilrma-t-iss-seq,3,10,3,0.634,1,10,561383553,0,0,0,-3.638156597,-3.453872017,0,0,0
55,ilrma-t-iss-seq,3,10,3,0.634,1,10,561383553,50,1,1.476937317,-0.251580355,2.721903395,3.386576241,6.175775413,0.333333333
56,ilrma-t-iss-joint,3,10,3,0.634,1,10,561383553,0,0,0,-3.638156597,-3.453872017,0,0,0
57,ilrma-t-iss-joint,3,10,3,0.634,1,10,561383553,50,1,2.298011153,-0.251580355,2.721903395,3.386576241,6.175775413,0.333333333
58,ilrma,3,10,3,0.634,1,10,561383553,0,0,0,-3.638156597,-3.453872017,0,0,0
59,ilrma,3,10,3,0.634,1,10,561383553,50,1,0.382136646,-8.306692336,2.92618578,-4.668535739,6.380057797,0.333333333
60,auxiva,3,10,3,0.634,1,10,1819941518,0,0,0,-3.687391403,-3.550738574,0,0,0
61,auxiva,3,10,3,0.634,1,10,1819941518,50,1,0.222763018,-0.795575957,2.62046149,2.891815446,6.171200064,0.333333333
62,ilrma-t-IP,3,10,3,0.634,1,10,1819941518,0,0,0,-3.687391403,-3.550738574,0,0,0
63,ilrma-t-IP,3,10,3,0.634,1,10,1819941518,50,1,2.8321857,0.290487002,3.358942995,3.977878405,6.909681569,0.333333333
64,ilrma-t-iss-seq,3,10,3,0.634,1,10,1819941518,0,0,0,-3.687391403,-3.550738574,0,0,0
65,ilrma-t-iss-seq,3,10,3,0.634,1,10,1819941518,50,1,1.524023663,0.169672324,3.332240829,3.857063727,6.882979402,0.333333333
66,ilrma-t-iss-joint,3,10,3,0.634,1,10,1819941518,0,0,0,-3.687391403,-3.550738574,0,0,0
67,ilrma-t-iss-joint,3,10,3,0.634,1,10,1819941518,50,1,2.396821587,0.169672324,3.332240829,3.857063727,6.882979402,0.333333333
68,ilrma,3,10,3,0.634,1,10,1819941518,0,0,0,-3.687391403,-3.550738574,0,0,0
69,ilrma,3,10,3,0.634,1,10,1819941518,50,1,0.395711069,-7.981771629,3.657209807,-4.294380226,7.20794838,0.333333333
70,auxiva,3,10,3,0.634,1,10,137773602,0,0,0,-3.532650372,-3.422576343,0,0,0
71,auxiva,3,10,3,0.634,1,10,137773602,50,1,0.196303383,-1.752768385,1.697385859,1.779881987,5.119962201,0.333333333
72,ilrma-t-IP,3,10,3,0.634,1,10,137773602,0,0,0,-3.532650372,-3.422576343,0,0,0
73,ilrma-t-IP,3,10,3,0.634,1,10,137773602,50,1,2.793262852,0.235586868,3.348797599,3.768237239,6.771373942,0.333333333
74,ilrma-t-iss-seq,3,10,3,0.634,1,10,137773602,0,0,0,-3.532650372,-3.422576343,0,0,0
75,ilrma-t-iss-seq,3,10,3,0.634,1,10,137773602,50,1,1.531147002,0.308185787,3.53777917,3.840836159,6.960355513,0.333333333
76,ilrma-t-iss-joint,3,10,3,0.634,1,10,137773602,0,0,0,-3.532650372,-3.422576343,0,0,0
77,ilrma-t-iss-joint,3,10,3,0.634,1,10,137773602,50,1,2.331448707,0.308185787,3.53777917,3.840836159,6.960355513,0.333333333
78,ilrma,3,10,3,0.634,1,10,137773602,0,0,0,-3.532650372,-3.422576343,0,0,0
79,ilrma,3,10,3,0.634,1,10,137773602,50,1,0.397665381,-0.327881316,2.336848925,3.204769056,5.759425267,0.333333333
80,auxiva,3,10,3,0.634,1,10,1319794951,0,0,0,-3.461315394,-3.247977966,0,0,0
81,auxiva,3,10,3,0.634,1,10,1319794951,50,1,0.203650817,0.649000735,3.859374441,4.110316129,7.107352408,0.333333333
82,ilrma-t-IP,3,10,3,0.634,1,10,1319794951,0,0,0,-3.461315394,-3.247977966,0,0,0
83,ilrma-t-IP,3,10,3,0.634,1,10,1319794951,50,1,2.73818069,0.673512618,3.916431599,4.134828012,7.164409566,0.333333333
84,ilrma-t-iss-seq,3,10,3,0.634,1,10,1319794951,0,0,0,-3.461315394,-3.247977966,0,0,0
85,ilrma-t-iss-seq,3,10,3,0.634,1,10,1319794951,50,1,1.453891158,0.602221956,3.778863584,4.063537351,7.02684155,0.333333333
86,ilrma-t-iss-joint,3,10,3,0.634,1,10,1319794951,0,0,0,-3.461315394,-3.247977966,0,0,0
87,ilrma-t-iss-joint,3,10,3,0.634,1,10,1319794951,50,1,2.276422105,0.602221956,3.778863584,4.063537351,7.02684155,0.333333333
88,ilrma,3,10,3,0.634,1,10,1319794951,0,0,0,-3.461315394,-3.247977966,0,0,0
89,ilrma,3,10,3,0.634,1,10,1319794951,50,1,0.371968948,0.314628233,5.051547382,3.775943628,8.299525348,0.333333333
90,auxiva,3,10,3,0.634,1,10,1959836417,0,0,0,-3.562911746,-3.443672024,0,0,0
