,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],_SI-SDR [dB],_SI-SIR [dB],Success
216,ilrma-t-iss-joint,3,10,3,0.634,1,0,1712592594,0,0,0,-6.922164553,-6.8071131,0,0,0
217,ilrma-t-iss-joint,3,10,3,0.634,1,0,1712592594,50,1,2.358309907,-13.61070546,-1.831192904,-6.688540904,4.975920195,0.333333333
218,ilrma,3,10,3,0.634,1,0,1712592594,0,0,0,-6.922164553,-6.8071131,0,0,0
219,ilrma,3,10,3,0.634,1,0,1712592594,50,1,0.36969291,-14.46211447,-2.686403564,-7.539949919,4.120709535,0.333333333
220,auxiva,3,10,3,0.634,1,0,789925284,0,0,0,-7.051620906,-6.907850909,0,0,0
221,auxiva,3,10,3,0.634,1,0,789925284,50,1,0.186732919,-6.214423152,-3.517202206,0.837197754,3.390648702,0
222,ilrma-t-IP,3,10,3,0.634,1,0,789925284,0,0,0,-7.051620906,-6.907850909,0,0,0
223,ilrma-t-IP,3,10,3,0.634,1,0,789925284,50,1,2.540728349,-5.270172707,-2.773534172,1.781448199,4.134316737,0
224,ilrma-t-iss-seq,3,10,3,0.634,1,0,789925284,0,0,0,-7.051620906,-6.907850909,0,0,0
225,ilrma-t-iss-seq,3,10,3,0.634,1,0,789925284,50,1,1.516824325,-5.57910078,-2.903548323,1.472520127,4.004302586,0.333333333
226,ilrma-t-iss-joint,3,10,3,0.634,1,0,789925284,0,0,0,-7.051620906,-6.907850909,0,0,0
227,ilrma-t-iss-joint,3,10,3,0.634,1,0,789925284,50,1,2.327921413,-5.57910078,-2.903548323,1.472520127,4.004302586,0.333333333
228,ilrma,3,10,3,0.634,1,0,789925284,0,0,0,-7.051620906,-6.907850909,0,0,0
229,ilrma,3,10,3,0.634,1,0,789925284,50,1,0.37239935,-7.019944761,-2.627870231,0.031676145,4.279980678,0.333333333
230,auxiva,3,10,3,0.634,1,0,671780907,0,0,0,-6.80321554,-6.671724824,0,0,0
231,auxiva,3,10,3,0.634,1,0,671780907,50,1,0.186782383,-14.00470786,-4.716395515,-7.201492317,1.955329309,0
232,ilrma-t-IP,3,10,3,0.634,1,0,671780907,0,0,0,-6.80321554,-6.671724824,0,0,0
233,ilrma-t-IP,3,10,3,0.634,1,0,671780907,50,1,2.699846403,-12.67401544,-2.555392835,-5.870799897,4.116331988,0.333333333
234,ilrma-t-iss-seq,3,10,3,0.634,1,0,671780907,0,0,0,-6.80321554,-6.671724824,0,0,0
235,ilrma-t-iss-seq,3,10,3,0.634,1,0,671780907,50,1,1.500109445,-6.688942341,-4.075486752,0.114273199,2.596238071,0
236,ilrma-t-iss-joint,3,10,3,0.634,1,0,671780907,0,0,0,-6.80321554,-6.671724824,0,0,0
237,ilrma-t-iss-joint,3,10,3,0.634,1,0,671780907,50,1,2.370484561,-6.688942341,-4.075486752,0.114273199,2.596238071,0
238,ilrma,3,10,3,0.634,1,0,671780907,0,0,0,-6.80321554,-6.671724824,0,0,0
239,ilrma,3,10,3,0.634,1,0,671780907,50,1,0.369319221,-12.58645088,-3.082176726,-5.783235342,3.589548098,0.333333333
240,auxiva,3,10,3,0.634,1,10,1251993226,0,0,0,-3.682769316,-3.585487485,0,0,0
241,auxiva,3,10,3,0.634,1,10,1251993226,50,1,0.198363629,0.373762565,3.668848367,4.056531881,7.254335852,0.333333333
242,ilrma-t-IP,3,10,3,0.634,1,10,1251993226,0,0,0,-3.682769316,-3.585487485,0,0,0
243,ilrma-t-IP,3,10,3,0.634,1,10,1251993226,50,1,2.56278878,0.432248376,3.744926346,4.115017691,7.330413831,0.333333333
244,ilrma-t-iss-seq,3,10,3,0.634,1,10,1251993226,0,0,0,-3.682769316,-3.585487485,0,0,0
245,ilrma-t-iss-seq,3,10,3,0.634,1,10,1251993226,50,1,1.477941768,0.440814315,3.756265568,4.123583631,7.341753053,0.333333333
246,ilrma-t-iss-joint,3,10,3,0.634,1,10,1251993226,0,0,0,-3.682769316,-3.585487485,0,0,0
247,ilrma-t-iss-joint,3,10,3,0.634,1,10,1251993226,50,1,2.288710259,0.440814315,3.756265568,4.123583631,7.341753053,0.333333333
248,ilrma,3,10,3,0.634,1,10,1251993226,0,0,0,-3.682769316,-3.585487485,0,0,0
249,ilrma,3,10,3,0.634,1,10,1251993226,50,1,0.371209561,0.610541417,4.278891479,4.293310732,7.864378964,0.333333333
250,auxiva,3,10,3,0.634,1,0,170765737,0,0,0,-7.065652095,-6.893598278,0,0,0
251,auxiva,3,10,3,0.634,1,0,170765737,50,1,0.18558977,-5.851342563,-3.17837314,1.214309532,3.715225138,0
252,ilrma-t-IP,3,10,3,0.634,1,0,170765737,0,0,0,-7.065652095,-6.893598278,0,0,0
253,ilrma-t-IP,3,10,3,0.634,1,0,170765737,50,1,2.712707661,-5.409545844,-2.882475744,1.65610625,4.011122534,0
254,ilrma-t-iss-seq,3,10,3,0.634,1,0,170765737,0,0,0,-7.065652095,-6.893598278,0,0,0
255,ilrma-t-iss-seq,3,10,3,0.634,1,0,170765737,50,1,1.454026423,-4.967405781,-2.317954501,2.098246313,4.575643778,0.333333333
256,ilrma-t-iss-joint,3,10,3,0.634,1,0,170765737,0,0,0,-7.065652095,-6.893598278,0,0,0
257,ilrma-t-iss-joint,3,10,3,0.634,1,0,170765737,50,1,2.302455605,-4.967405781,-2.317954501,2.098246313,4.575643778,0.333333333
258,ilrma,3,10,3,0.634,1,0,170765737,0,0,0,-7.065652095,-6.893598278,0,0,0
259,ilrma,3,10,3,0.634,1,0,170765737,50,1,0.36959248,-8.656880695,2.752879734,-1.5912286,9.646478013,0.333333333
260,auxiva,3,10,3,0.634,1,0,1959836417,0,0,0,-6.952810471,-6.852311899,0,0,0
261,auxiva,3,10,3,0.634,1,0,1959836417,50,1,0.185782479,-8.949364453,-6.345806723,-1.996553983,0.506505176,0
262,ilrma-t-IP,3,10,3,0.634,1,0,1959836417,0,0,0,-6.952810471,-6.852311899,0,0,0
263,ilrma-t-IP,3,10,3,0.634,1,0,1959836417,50,1,2.621669495,-5.541137062,-2.941440791,1.411673409,3.910871107,0
264,ilrma-t-iss-seq,3,10,3,0.634,1,0,1959836417,0,0,0,-6.952810471,-6.852311899,0,0,0
265,ilrma-t-iss-seq,3,10,3,0.634,1,0,1959836417,50,1,1.456647497,-5.213044823,-2.523532209,1.739765647,4.32877969,0.333333333
266,ilrma-t-iss-joint,3,10,3,0.634,1,0,1959836417,0,0,0,-6.952810471,-6.852311899,0,0,0
267,ilrma-t-iss-joint,3,10,3,0.634,1,0,1959836417,50,1,2.300943025,-5.213044823,-2.523532209,1.739765647,4.32877969,0.333333333
268,ilrma,3,10,3,0.634,1,0,1959836417,0,0,0,-6.952810471,-6.852311899,0,0,0
269,ilrma,3,10,3,0.634,1,0,1959836417,50,1,0.373110126,-8.900885189,-6.571604486,-1.948074719,0.280707413,0
270,auxiva,3,10,3,0.634,1,10,878579710,0,0,0,-3.548773444,-3.45992407,0,0,0
271,auxiva,3,10,3,0.634,1,10,878579710,50,1,0.186132522,-0.821088226,2.828424579,2.727685218,6.288348649,0.333333333
272,ilrma-t-IP,3,10,3,0.634,1,10,878579710,0,0,0,-3.548773444,-3.45992407,0,0,0
273,ilrma-t-IP,3,10,3,0.634,1,10,878579710,50,1,2.699065942,-0.438668685,3.152648019,3.110104758,6.612572089,0.333333333
274,ilrma-t-iss-seq,3,10,3,0.634,1,10,878579710,0,0,0,-3.548773444,-3.45992407,0,0,0
275,ilrma-t-iss-seq,3,10,3,0.634,1,10,878579710,50,1,1.497736301,-0.442329668,3.174736485,3.106443776,6.634660556,0.333333333
276,ilrma-t-iss-joint,3,10,3,0.634,1,10,878579710,0,0,0,-3.548773444,-3.45992407,0,0,0
277,ilrma-t-iss-joint,3,10,3,0.634,1,10,878579710,50,1,2.316731249,-0.442329668,3.174736485,3.106443776,6.634660556,0.333333333
278,ilrma,3,10,3,0.634,1,10,878579710,0,0,0,-3.548773444,-3.45992407,0,0,0
279,ilrma,3,10,3,0.634,1,10,878579710,50,1,0.370505572,-2.052288914,3.407738864,1.49648453,6.867662934,0.333333333
280,auxiva,3,10,3,0.634,1,10,671780907,0,0,0,-3.542810134,-3.440648559,0,0,0
281,auxiva,3,10,3,0.634,1,10,671780907,50,1,0.186019199,-2.084678787,1.137289618,1.458131347,4.577938177,0.666666667
282,ilrma-t-IP,3,10,3,0.634,1,10,671780907,0,0,0,-3.542810134,-3.440648559,0,0,0
283,ilrma-t-IP,3,10,3,0.634,1,10,671780907,50,1,2.729454842,-0.994366776,2.105687593,2.548443358,5.546336153,0.666666667
284,ilrma-t-iss-seq,3,10,3,0.634,1,10,671780907,0,0,0,-3.542810134,-3.440648559,0,0,0
285,ilrma-t-iss-seq,3,10,3,0.634,1,10,671780907,50,1,1.445939349,-0.931759901,2.20041702,2.611050233,5.64106558,0.666666667
286,ilrma-t-iss-joint,3,10,3,0.634,1,10,671780907,0,0,0,-3.542810134,-3.440648559,0,0,0
287,ilrma-t-iss-joint,3,10,3,0.634,1,10,671780907,50,1,2.293740417,-0.931759901,2.20041702,2.611050233,5.64106558,0.666666667
288,ilrma,3,10,3,0.634,1,10,671780907,0,0,0,-3.542810134,-3.440648559,0,0,0
289,ilrma,3,10,3,0.634,1,10,671780907,50,1,0.370485974,-2.592526245,1.52619823,0.950283889,4.966846789,0.333333333
290,auxiva,3,10,3,0.634,1,10,170765737,0,0,0,-3.672212287,-3.507328739,0,0,0
291,auxiva,3,10,3,0.634,1,10,170765737,50,1,0.185770678,-1.075035555,2.389678207,2.597176732,5.897006946,0.333333333
292,ilrma-t-IP,3,10,3,0.634,1,10,170765737,0,0,0,-3.672212287,-3.507328739,0,0,0
293,ilrma-t-IP,3,10,3,0.634,1,10,170765737,50,1,2.712648029,-0.302899829,2.95589657,3.369312458,6.463225309,0.333333333
294,ilrma-t-iss-seq,3,10,3,0.634,1,10,170765737,0,0,0,-3.672212287,-3.507328739,0,0,0
295,ilrma-t-iss-seq,3,10,3,0.634,1,10,170765737,50,1,1.437685151,-0.347867732,2.957047046,3.324344555,6.464375784,0.333333333
296,ilrma-t-iss-joint,3,10,3,0.634,1,10,170765737,0,0,0,-3.672212287,-3.507328739,0,0,0
297,ilrma-t-iss-joint,3,10,3,0.634,1,10,170765737,50,1,2.31768582,-0.347867732,2.957047046,3.324344555,6.464375784,0.333333333
298,ilrma,3,10,3,0.634,1,10,170765737,0,0,0,-3.672212287,-3.507328739,0,0,0
299,ilrma,3,10,3,0.634,1,10,170765737,50,1,0.369573317,-0.044111421,3.497090388,3.628100866,7.004419126,0.333333333
300,auxiva,3,10,3,0.634,1,0,410361373,0,0,0,-6.934676746,-6.802099027,0,0,0
301,auxiva,3,10,3,0.634,1,0,410361373,50,1,0.189831891,-4.374101483,-1.838436707,2.560575264,4.96366232,0.333333333
302,ilrma-t-IP,3,10,3,0.634,1,0,410361373,0,0,0,-6.934676746,-6.802099027,0,0,0
303,ilrma-t-IP,3,10,3,0.634,1,0,410361373,50,1,2.702276044,-12.16949696,-1.365405295,-5.234820218,5.436693732,0.333333333
304,ilrma-t-iss-seq,3,10,3,0.634,1,0,410361373,0,0,0,-6.934676746,-6.802099027,0,0,0
305,ilrma-t-iss-seq,3,10,3,0.634,1,0,410361373,50,1,1.43038985,-12.23658207,-1.428068153,-5.301905327,5.374030874,0.333333333
306,ilrma-t-iss-joint,3,10,3,0.634,1,0,410361373,0,0,0,-6.934676746,-6.802099027,0,0,0
307,ilrma-t-iss-joint,3,10,3,0.634,1,0,410361373,50,1,2.261843463,-12.23658207,-1.428068153,-5.301905327,5.374030874,0.333333333
308,ilrma,3,10,3,0.634,1,0,410361373,0,0,0,-6.934676746,-6.802099027,0,0,0
309,ilrma,3,10,3,0.634,1,0,410361373,50,1,0.369413992,-11.82351196,-0.944223984,-4.88883521,5.857875043,0.333333333
310,auxiva,3,10,3,0.634,1,10,1402032510,0,0,0,-3.704705603,-3.581979451,0,0,0
311,auxiva,3,10,3,0.634,1,10,1402032510,50,1,0.185599616,0.957938347,4.133712692,4.662643951,7.715692143,0.333333333
312,ilrma-t-IP,3,10,3,0.634,1,10,1402032510,0,0,0,-3.704705603,-3.581979451,0,0,0
313,ilrma-t-IP,3,10,3,0.634,1,10,1402032510,50,1,2.67382376,0.965811327,4.215018252,4.67051693,7.796997704,0.333333333
314,ilrma-t-iss-seq,3,10,3,0.634,1,10,1402032510,0,0,0,-3.704705603,-3.581979451,0,0,0
315,ilrma-t-iss-seq,3,10,3,0.634,1,10,1402032510,50,1,1.438969498,0.96735946,4.225961458,4.672065063,7.807940909,0.333333333
316,ilrma-t-iss-joint,3,10,3,0.634,1,10,1402032510,0,0,0,-3.704705603,-3.581979451,0,0,0
317,ilrma-t-iss-joint,3,10,3,0.634,1,10,1402032510,50,1,2.263911211,0.96735946,4.225961458,4.672065063,7.807940909,0.333333333
318,ilrma,3,10,3,0.634,1,10,1402032510,0,0,0,-3.704705603,-3.581979451,0,0,0
319,ilrma,3,10,3,0.634,1,10,1402032510,50,1,0.368780979,0.690611332,4.877742459,4.395316935,8.459721911,0.333333333
320,auxiva,3,10,3,0.634,1,0,657890619,0,0,0,-6.89531936,-6.746105796,0,0,0
321,auxiva,3,10,3,0.634,1,0,657890619,50,1,0.188644932,-14.07132768,-3.650219526,-7.176008318,3.09588627,0.333333333
322,ilrma-t-IP,3,10,3,0.634,1,0,657890619,0,0,0,-6.89531936,-6.746105796,0,0,0
323,ilrma-t-IP,3,10,3,0.634,1,0,657890619,50,1,2.632775381,-13.99171824,-1.997001981,-7.096398884,4.749103815,0.333333333
324,ilrma-t-iss-seq,3,10,3,0.634,1,0,657890619,0,0,0,-6.89531936,-6.746105796,0,0,0
325,ilrma-t-iss-seq,3,10,3,0.634,1,0,657890619,50,1,1.439315103,-14.13323219,-1.712860442,-7.237912832,5.033245354,0.333333333
326,ilrma-t-iss-joint,3,10,3,0.634,1,0,657890619,0,0,0,-6.89531936,-6.746105796,0,0,0
327,ilrma-t-iss-joint,3,10,3,0.634,1,0,657890619,50,1,2.272529241,-14.13323219,-1.712860442,-7.237912832,5.033245354,0.333333333
328,ilrma,3,10,3,0.634,1,0,657890619,0,0,0,-6.89531936,-6.746105796,0,0,0
329,ilrma,3,10,3,0.634,1,0,657890619,50,1,0.369932609,-13.14736516,-2.376995263,-6.252045801,4.369110533,0.333333333
330,auxiva,3,10,3,0.634,1,0,1983958385,0,0,0,-6.999651254,-6.864490497,0,0,0
331,auxiva,3,10,3,0.634,1,0,1983958385,50,1,0.186656849,-12.58647353,-2.627718338,-5.586822275,4.236772159,0.333333333
332,ilrma-t-IP,3,10,3,0.634,1,0,1983958385,0,0,0,-6.999651254,-6.864490497,0,0,0
333,ilrma-t-IP,3,10,3,0.634,1,0,1983958385,50,1,2.668811012,-12.51751493,-0.489152306,-5.517863674,6.375338191,0.333333333
334,ilrma-t-iss-seq,3,10,3,0.634,1,0,1983958385,0,0,0,-6.999651254,-6.864490497,0,0,0
335,ilrma-t-iss-seq,3,10,3,0.634,1,0,1983958385,50,1,1.431732569,-16.05218508,-4.582737884,-9.05253383,2.281752613,0
336,ilrma-t-iss-joint,3,10,3,0.634,1,0,1983958385,0,0,0,-6.999651254,-6.864490497,0,0,0
337,ilrma-t-iss-joint,3,10,3,0.634,1,0,1983958385,50,1,2.252125762,-16.05218508,-4.582737884,-9.05253383,2.281752613,0
338,ilrma,3,10,3,0.634,1,0,1983958385,0,0,0,-6.999651254,-6.864490497,0,0,0
339,ilrma,3,10,3,0.634,1,0,1983958385,50,1,0.369971511,-10.48707681,-1.391865246,-3.487425551,5.47262525,0.333333333
340,auxiva,3,10,3,0.634,1,0,290876773,0,0,0,-6.950038981,-6.855915896,0,0,0
341,auxiva,3,10,3,0.634,1,0,290876773,50,1,0.186627435,-4.727221401,-2.069012049,2.22281758,4.786903848,0.333333333
342,ilrma-t-IP,3,10,3,0.634,1,0,290876773,0,0,0,-6.950038981,-6.855915896,0,0,0
343,ilrma-t-IP,3,10,3,0.634,1,0,290876773,50,1,2.620751296,-4.575213053,-1.72780926,2.374825928,5.128106636,0.333333333
344,ilrma-t-iss-seq,3,10,3,0.634,1,0,290876773,0,0,0,-6.950038981,-6.855915896,0,0,0
345,ilrma-t-iss-seq,3,10,3,0.634,1,0,290876773,50,1,1.439919422,-4.618101761,-1.593978765,2.33193722,5.261937131,0.333333333
346,ilrma-t-iss-joint,3,10,3,0.634,1,0,290876773,0,0,0,-6.950038981,-6.855915896,0,0,0
347,ilrma-t-iss-joint,3,10,3,0.634,1,0,290876773,50,1,2.398258586,-4.618101761,-1.593978765,2.33193722,5.261937131,0.333333333
348,ilrma,3,10,3,0.634,1,0,290876773,0,0,0,-6.950038981,-6.855915896,0,0,0
349,ilrma,3,10,3,0.634,1,0,290876773,50,1,0.370289222,-7.364861963,-2.557040936,-0.414822982,4.29887496,0.333333333
350,auxiva,3,10,3,0.634,1,0,659577591,0,0,0,-6.982599566,-6.897856485,0,0,0
351,auxiva,3,10,3,0.634,1,0,659577591,50,1,0.186798754,-13.24716637,-4.151572722,-6.264566802,2.746283763,0
352,ilrma-t-IP,3,10,3,0.634,1,0,659577591,0,0,0,-6.982599566,-6.897856485,0,0,0
353,ilrma-t-IP,3,10,3,0.634,1,0,659577591,50,1,2.655643236,-12.81824952,-2.442759734,-5.835649953,4.455096751,0
354,ilrma-t-iss-seq,3,10,3,0.634,1,0,659577591,0,0,0,-6.982599566,-6.897856485,0,0,0
355,ilrma-t-iss-seq,3,10,3,0.634,1,0,659577591,50,1,1.509472461,-13.05379067,-2.909604227,-6.0711911,3.988252258,0
356,ilrma-t-iss-joint,3,10,3,0.634,1,0,659577591,0,0,0,-6.982599566,-6.897856485,0,0,0
357,ilrma-t-iss-joint,3,10,3,0.634,1,0,659577591,50,1,2.359959181,-13.05379067,-2.909604227,-6.0711911,3.988252258,0
358,ilrma,3,10,3,0.634,1,0,659577591,0,0,0,-6.982599566,-6.897856485,0,0,0
359,ilrma,3,10,3,0.634,1,0,659577591,50,1,0.370091269,-13.95627651,-3.497109773,-6.973676945,3.400746711,0.333333333
360,auxiva,3,10,3,0.634,1,0,561383553,0,0,0,-7.013221804,-6.843624756,0,0,0
361,auxiva,3,10,3,0.634,1,0,561383553,50,1,0.186308501,-6.918026894,-4.207089735,0.09519491,2.636535021,0
362,ilrma-t-IP,3,10,3,0.634,1,0,561383553,0,0,0,-7.013221804,-6.843624756,0,0,0
363,ilrma-t-IP,3,10,3,0.634,1,0,561383553,50,1,2.621167009,-14.20970007,-4.494538522,-7.196478269,2.349086234,0
364,ilrma-t-iss-seq,3,10,3,0.634,1,0,561383553,0,0,0,-7.013221804,-6.843624756,0,0,0
365,ilrma-t-iss-seq,3,10,3,0.634,1,0,561383553,50,1,1.511276564,-6.767753459,-3.317949917,0.245468345,3.525674839,0.333333333
366,ilrma-t-iss-joint,3,10,3,0.634,1,0,561383553,0,0,0,-7.013221804,-6.843624756,0,0,0
367,ilrma-t-iss-joint,3,10,3,0.634,1,0,561383553,50,1,2.350223735,-6.767753459,-3.317949917,0.245468345,3.525674839,0.333333333
368,ilrma,3,10,3,0.634,1,0,561383553,0,0,0,-7.013221804,-6.843624756,0,0,0
369,ilrma,3,10,3,0.634,1,0,561383553,50,1,0.36953425,-7.365162366,-0.746207454,-0.351940562,6.097417302,0.333333333
370,auxiva,3,10,3,0.634,1,10,1605979227,0,0,0,-3.684780295,-3.567352631,0,0,0
371,auxiva,3,10,3,0.634,1,10,1605979227,50,1,0.18593673,0.387098835,3.371820714,4.07187913,6.939173345,0.666666667
372,ilrma-t-IP,3,10,3,0.634,1,10,1605979227,0,0,0,-3.684780295,-3.567352631,0,0,0
373,ilrma-t-IP,3,10,3,0.634,1,10,1605979227,50,1,2.63089637,0.35864404,3.368957915,4.043424334,6.936310545,0.333333333
374,ilrma-t-iss-seq,3,10,3,0.634,1,10,1605979227,0,0,0,-3.684780295,-3.567352631,0,0,0
375,ilrma-t-iss-seq,3,10,3,0.634,1,10,1605979227,50,1,1.552463578,0.355198565,3.388624012,4.039978859,6.955976643,0.333333333
376,ilrma-t-iss-joint,3,10,3,0.634,1,10,1605979227,0,0,0,-3.684780295,-3.567352631,0,0,0
377,ilrma-t-iss-joint,3,10,3,0.634,1,10,1605979227,50,1,2.335388431,0.355198565,3.388624012,4.039978859,6.955976643,0.333333333
378,ilrma,3,10,3,0.634,1,10,1605979227,0,0,0,-3.684780295,-3.567352631,0,0,0
379,ilrma,3,10,3,0.634,1,10,1605979227,50,1,0.369794637,0.47206221,4.021543974,4.156842505,7.588896605,0.333333333
380,auxiva,3,10,3,0.634,1,0,665605494,0,0,0,-6.956175766,-6.824366446,0,0,0
381,auxiva,3,10,3,0.634,1,0,665605494,50,1,0.18695816,-4.780579454,-2.114004228,2.175596313,4.710362217,0.333333333
382,ilrma-t-IP,3,10,3,0.634,1,0,665605494,0,0,0,-6.956175766,-6.824366446,0,0,0
383,ilrma-t-IP,3,10,3,0.634,1,0,665605494,50,1,2.657282732,-4.464414147,-2.000546865,2.491761619,4.823819581,0.333333333
384,ilrma-t-iss-seq,3,10,3,0.634,1,0,665605494,0,0,0,-6.956175766,-6.824366446,0,0,0
385,ilrma-t-iss-seq,3,10,3,0.634,1,0,665605494,50,1,1.47736877,-4.551102275,-1.862824202,2.405073492,4.961542244,0.333333333
386,ilrma-t-iss-joint,3,10,3,0.634,1,0,665605494,0,0,0,-6.956175766,-6.824366446,0,0,0
387,ilrma-t-iss-joint,3,10,3,0.634,1,0,665605494,50,1,2.304055382,-4.551102275,-1.862824202,2.405073492,4.961542244,0.333333333
388,ilrma,3,10,3,0.634,1,0,665605494,0,0,0,-6.956175766,-6.824366446,0,0,0
389,ilrma,3,10,3,0.634,1,0,665605494,50,1,0.370053521,-5.477819022,-2.072955503,1.478356744,4.751410943,0.333333333
390,auxiva,3,10,3,0.634,1,0,878579710,0,0,0,-6.866578513,-6.729857103,0,0,0
391,auxiva,3,10,3,0.634,1,0,878579710,50,1,0.185606856,-6.670611686,-3.926374921,0.195966827,2.803482181,0
392,ilrma-t-IP,3,10,3,0.634,1,0,878579710,0,0,0,-6.866578513,-6.729857103,0,0,0
393,ilrma-t-IP,3,10,3,0.634,1,0,878579710,50,1,2.658395596,-6.476419613,-3.751725346,0.3901589,2.978131757,0
394,ilrma-t-iss-seq,3,10,3,0.634,1,0,878579710,0,0,0,-6.866578513,-6.729857103,0,0,0
395,ilrma-t-iss-seq,3,10,3,0.634,1,0,878579710,50,1,1.438727626,-6.675892071,-3.744854994,0.190686442,2.985002109,0.333333333
396,ilrma-t-iss-joint,3,10,3,0.634,1,0,878579710,0,0,0,-6.866578513,-6.729857103,0,0,0
397,ilrma-t-iss-joint,3,10,3,0.634,1,0,878579710,50,1,2.271177612,-6.675892071,-3.744854994,0.190686442,2.985002109,0.333333333
398,ilrma,3,10,3,0.634,1,0,878579710,0,0,0,-6.866578513,-6.729857103,0,0,0
399,ilrma,3,10,3,0.634,1,0,878579710,50,1,0.370566377,-8.833728509,-3.978589171,-1.967149996,2.751267932,0.333333333
400,auxiva,3,10,3,0.634,1,10,36027469,0,0,0,-3.608227776,-3.512087172,0,0,0
401,auxiva,3,10,3,0.634,1,10,36027469,50,1,0.186511704,-0.423595471,2.474893182,3.184632306,5.986980354,0.333333333
402,ilrma-t-IP,3,10,3,0.634,1,10,36027469,0,0,0,-3.608227776,-3.512087172,0,0,0
403,ilrma-t-IP,3,10,3,0.634,1,10,36027469,50,1,2.572992204,-0.036918777,2.707948248,3.571308999,6.22003542,0.333333333
404,ilrma-t-iss-seq,3,10,3,0.634,1,10,36027469,0,0,0,-3.608227776,-3.512087172,0,0,0
405,ilrma-t-iss-seq,3,10,3,0.634,1,10,36027469,50,1,1.426077607,-0.029884564,2.730114082,3.578343212,6.242201254,0.333333333
406,ilrma-t-iss-joint,3,10,3,0.634,1,10,36027469,0,0,0,-3.608227776,-3.512087172,0,0,0
407,ilrma-t-iss-joint,3,10,3,0.634,1,10,36027469,50,1,2.411014588,-0.029884564,2.730114082,3.578343212,6.242201254,0.333333333
408,ilrma,3,10,3,0.634,1,10,36027469,0,0,0,-3.608227776,-3.512087172,0,0,0
409,ilrma,3,10,3,0.634,1,10,36027469,50,1,0.371760487,-1.150039357,2.826438789,2.458188419,6.338525961,0.333333333
410,auxiva,3,10,3,0.634,1,0,137773602,0,0,0,-6.92411529,-6.822546235,0,0,0
411,auxiva,3,10,3,0.634,1,0,137773602,50,1,0.185889165,-7.297885101,-4.622982206,-0.373769812,2.19956403,0
412,ilrma-t-IP,3,10,3,0.634,1,0,137773602,0,0,0,-6.92411529,-6.822546235,0,0,0
413,ilrma-t-IP,3,10,3,0.634,1,0,137773602,50,1,2.627779563,-12.42943541,-2.151463236,-5.505320116,4.671082999,0.333333333
414,ilrma-t-iss-seq,3,10,3,0.634,1,0,137773602,0,0,0,-6.92411529,-6.822546235,0,0,0
415,ilrma-t-iss-seq,3,10,3,0.634,1,0,137773602,50,1,1.580476108,-5.360502092,-2.385742292,1.563613198,4.436803944,0.333333333
416,ilrma-t-iss-joint,3,10,3,0.634,1,0,137773602,0,0,0,-6.92411529,-6.822546235,0,0,0
417,ilrma-t-iss-joint,3,10,3,0.634,1,0,137773602,50,1,2.402289523,-5.360502092,-2.385742292,1.563613198,4.436803944,0.333333333
418,ilrma,3,10,3,0.634,1,0,137773602,0,0,0,-6.92411529,-6.822546235,0,0,0
419,ilrma,3,10,3,0.634,1,0,137773602,50,1,0.389295858,-12.86917853,-3.534095015,-5.945063239,3.28845122,0.333333333
420,auxiva,3,10,3,0.634,1,0,1819941518,0,0,0,-7.028942687,-6.888160311,0,0,0
421,auxiva,3,10,3,0.634,1,0,1819941518,50,1,0.186391256,-6.452581325,-3.759427941,0.576361362,3.128732369,0
422,ilrma-t-IP,3,10,3,0.634,1,0,1819941518,0,0,0,-7.028942687,-6.888160311,0,0,0
423,ilrma-t-IP,3,10,3,0.634,1,0,1819941518,50,1,2.688903944,-12.98210754,-2.920824392,-5.953164855,3.967335919,0
424,ilrma-t-iss-seq,3,10,3,0.634,1,0,1819941518,0,0,0,-7.028942687,-6.888160311,0,0,0
425,ilrma-t-iss-seq,3,10,3,0.634,1,0,1819941518,50,1,1.522354808,-5.994250389,-3.189270498,1.034692298,3.698889813,0.333333333
426,ilrma-t-iss-joint,3,10,3,0.634,1,0,1819941518,0,0,0,-7.028942687,-6.888160311,0,0,0
427,ilrma-t-iss-joint,3,10,3,0.634,1,0,1819941518,50,1,2.379824138,-5.994250389,-3.189270498,1.034692298,3.698889813,0.333333333
428,ilrma,3,10,3,0.634,1,0,1819941518,0,0,0,-7.028942687,-6.888160311,0,0,0
429,ilrma,3,10,3,0.634,1,0,1819941518,50,1,0.370765294,-12.36522275,-1.633136495,-5.336280062,5.255023816,0.333333333
430,auxiva,3,10,3,0.634,1,10,1282922662,0,0,0,-3.610804086,-3.495519019,0,0,0
431,auxiva,3,10,3,0.634,1,10,1282922662,50,1,0.185770959,-0.43605396,2.713872395,3.174750126,6.209391414,0.333333333
432,ilrma-t-IP,3,10,3,0.634,1,10,1282922662,0,0,0,-3.610804086,-3.495519019,0,0,0
433,ilrma-t-IP,3,10,3,0.634,1,10,1282922662,50,1,2.700504782,-0.048986432,2.916638361,3.561817654,6.412157381,0.333333333
434,ilrma-t-iss-seq,3,10,3,0.634,1,10,1282922662,0,0,0,-3.610804086,-3.495519019,0,0,0
435,ilrma-t-iss-seq,3,10,3,0.634,1,10,1282922662,50,1,1.485334035,-0.175473556,2.728612503,3.43533053,6.224131522,0.333333333
