,Algorithm,Sources,Interferers,Mics,RT60,Distance,SINR,seed,Iteration,Iteration_Index,Runtime [s],SI-SDR [dB],SI-SIR [dB],ΔSI-SDR [dB],ΔSI-SIR [dB],Success
0,ilrma-t-IP,3,10,3,0.6344375,1,30,36027469,0,0,0,-3.045586645,-2.885904803,0,0,0
1,ilrma-t-IP,3,10,3,0.6344375,1,30,36027469,50,1,3.486073749,7.169352594,19.74748811,10.21493924,22.63339292,1
2,ilrma,3,10,3,0.6344375,1,30,36027469,0,0,0,-3.045586645,-2.885904803,0,0,0
3,ilrma,3,10,3,0.6344375,1,30,36027469,50,1,1.049985927,7.385857261,19.05367186,10.43144391,21.93957666,1
4,ilrma-t-IP,3,10,3,0.6344375,1,30,1983958385,0,0,0,-3.080534528,-2.927829363,0,0,0
5,ilrma-t-IP,3,10,3,0.6344375,1,30,1983958385,50,1,3.506049345,6.228008087,16.95599362,9.308542615,19.88382298,1
6,ilrma,3,10,3,0.6344375,1,30,1983958385,0,0,0,-3.080534528,-2.927829363,0,0,0
7,ilrma,3,10,3,0.6344375,1,30,1983958385,50,1,1.067265434,6.811154897,17.51773774,9.891689425,20.4455671,1
8,ilrma-t-IP,3,10,3,0.6344375,1,30,1282922662,0,0,0,-3.009806497,-2.833380616,0,0,0
9,ilrma-t-IP,3,10,3,0.6344375,1,30,1282922662,50,1,3.532293835,6.281733464,18.06443217,9.291539961,20.89781278,1
10,ilrma,3,10,3,0.6344375,1,30,1282922662,0,0,0,-3.009806497,-2.833380616,0,0,0
11,ilrma,3,10,3,0.6344375,1,30,1282922662,50,1,1.066458117,6.154055597,17.97689598,9.163862094,20.81027659,1
12,ilrma-t-IP,3,10,3,0.6344375,1,30,1605979227,0,0,0,-3.138371463,-2.904042557,0,0,0
13,ilrma-t-IP,3,10,3,0.6344375,1,30,1605979227,50,1,3.462432711,8.10398318,18.85063285,11.24235464,21.75467541,1
14,ilrma,3,10,3,0.6344375,1,30,1605979227,0,0,0,-3.138371463,-2.904042557,0,0,0
15,ilrma,3,10,3,0.6344375,1,30,1605979227,50,1,1.051827913,8.087674061,17.94427346,11.22604552,20.84831602,1
16,ilrma-t-IP,3,10,3,0.6344375,1,30,457175121,0,0,0,-2.979940396,-2.62343914,0,0,0
17,ilrma-t-IP,3,10,3,0.6344375,1,30,457175121,50,1,3.442610404,7.732038944,18.4542743,10.71197934,21.07771344,1
18,ilrma,3,10,3,0.6344375,1,30,457175121,0,0,0,-2.979940396,-2.62343914,0,0,0
19,ilrma,3,10,3,0.6344375,1,30,457175121,50,1,1.034514174,7.528392265,16.54910587,10.50833266,19.17254501,1
20,ilrma-t-IP,3,10,3,0.6344375,1,30,1251993226,0,0,0,-3.096510211,-2.941246719,0,0,0
21,ilrma-t-IP,3,10,3,0.6344375,1,30,1251993226,50,1,3.456244192,7.232691276,20.75140115,10.32920149,23.69264787,1
22,ilrma,3,10,3,0.6344375,1,30,1251993226,0,0,0,-3.096510211,-2.941246719,0,0,0
23,ilrma,3,10,3,0.6344375,1,30,1251993226,50,1,1.02805752,7.597631064,19.93243328,10.69414128,22.87368,1
24,ilrma-t-IP,3,10,3,0.6344375,1,30,1981297353,0,0,0,-2.996706951,-2.835997892,0,0,0
25,ilrma-t-IP,3,10,3,0.6344375,1,30,1981297353,50,1,3.479941597,7.302626504,19.09739766,10.29933346,21.93339556,1
26,ilrma,3,10,3,0.6344375,1,30,1981297353,0,0,0,-2.996706951,-2.835997892,0,0,0
27,ilrma,3,10,3,0.6344375,1,30,1981297353,50,1,1.03084141,7.801782669,19.77136093,10.79848962,22.60735882,1
28,ilrma-t-IP,3,10,3,0.6344375,1,30,1959836417,0,0,0,-2.962848805,-2.752785658,0,0,0
29,ilrma-t-IP,3,10,3,0.6344375,1,30,1959836417,50,1,3.528617141,6.242551429,16.46576023,9.205400234,19.21854588,1
30,ilrma,3,10,3,0.6344375,1,30,1959836417,0,0,0,-2.962848805,-2.752785658,0,0,0
31,ilrma,3,10,3,0.6344375,1,30,1959836417,50,1,1.030954773,6.651171656,17.11904264,9.614020461,19.8718283,1
32,ilrma-t-IP,3,10,3,0.6344375,1,30,671780907,0,0,0,-3.001050925,-2.814852955,0,0,0
33,ilrma-t-IP,3,10,3,0.6344375,1,30,671780907,50,1,3.619325026,7.364106676,19.13999993,10.3651576,21.95485288,1
34,ilrma,3,10,3,0.6344375,1,30,671780907,0,0,0,-3.001050925,-2.814852955,0,0,0
35,ilrma,3,10,3,0.6344375,1,30,671780907,50,1,1.039453051,7.575092819,18.87215532,10.57614374,21.68700827,1
36,ilrma-t-IP,3,10,3,0.6344375,1,30,659577591,0,0,0,-3.055494485,-2.853767366,0,0,0
